Number,Rooms,Square,Price,Metro,Address,Url
148,Студия,27.0,2334000,Улица Дыбенко ,Европейский проспект,https://www.avito.ru/sankt-peterburg/kvartiry/studiya_27_m_925_et._1007176242
649,1-к квартира,35.0,2568000,Девяткино ,"Оборонная улица, 26",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_35_m_313_et._940840315
309,Студия,23.0,3370000,Комендантский проспект ,ул. Репищева 10 корп 2,https://www.avito.ru/sankt-peterburg/kvartiry/studiya_23_m_1924_et._961485693
755,2-к квартира,46.0,3690000,Международная ,"Альпийский пер, 19к1",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_46_m_35_et._850459479
595,2-к квартира,61.0,4889607,Звездная ,"Московское ш., д.13 б к.13 б к. 1",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_61_m_417_et._998756635
693,Студия,23.0,2600000,Проспект Ветеранов ,"ул Пионерстроя, 21к1",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_23_m_516_et._1081748460
762,4-к квартира,77.7,6499000,Черная речка ,"Кирилловская улица, 22",https://www.avito.ru/sankt-peterburg/kvartiry/4-k_kvartira_77.7_m_56_et._915423471
66,3-к квартира,89.5,3700000,Девяткино ,"просп. Авиаторов Балтики, ЖК «Три Кита»",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_89.5_m_29_et._939183629
658,2-к квартира,73.0,8250000,Василеостровская ,24линия В.О.29,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_73_m_411_et._1005132198
91,2-к квартира,56.1,10399000,Невский проспект ,"Большая Конюшенная ул, 13",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_56.1_m_44_et._1021337750
395,Студия,25.0,2660000,Комендантский проспект ,"Россия, Санкт-Петербург, Комендантский проспект",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_25_m_1125_et._1031298931
517,1-к квартира,33.0,2850000,Проспект Ветеранов ,летчика Пилютова д.48,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_33_m_39_et._236464352
94,2-к квартира,96.3,14300000,Сенная площадь ,"Гороховая ул, 53",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_96.3_m_24_et._1056689456
25,1-к квартира,34.1,2597000,Проспект Ветеранов ,"Петергофское шоссе, 86",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_34.1_m_28_et._1080893269
384,2-к квартира,90.0,14500000,Старая деревня ,"Сестрорецк, улица Первого Мая, д.3А",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_90_m_36_et._1107640691
274,3-к квартира,103.0,12000000,Василеостровская ,"25-я линия В.О., д. 8, лит. Б",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_103_m_510_et._1039288932
480,2-к квартира,50.5,5200000,Горьковская ,"СПБ ко.Чапаева, д.2",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_50.5_m_17_et._1113003367
679,1-к квартира,43.4,4590000,Проспект Просвещения ,"Просвещения пр-кт, 72",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_43.4_m_1113_et._959009497
707,1-к квартира,38.0,2990000,Звездная ,"Колпино, ул.Тверская д.56",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_38_m_1416_et._1077695369
441,3-к квартира,108.3,13805748,Фрунзенская ,"Московский пр., д. 73 корп. 5 литера А",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_108.3_m_819_et._1026678660
514,1-к квартира,38.3,3999000,Проспект Большевиков ,"ул Подвойского, 8",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_38.3_m_2223_et._1021864207
291,2-к квартира,121.0,24900000,Площадь Ленина ,"Большой Сампсониевский пр., д.4-6",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_121_m_1119_et._1174018595
377,Студия,43.1,6364000,Площадь Восстания ,ул Кременчугская 21 кор 3,https://www.avito.ru/sankt-peterburg/kvartiry/studiya_43.1_m_711_et._1089009282
562,Студия,38.2,5000000,Спортивная ,"Россия, Санкт-Петербург, набережная реки Смоленки, 3к1",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_38.2_m_810_et._993483286
648,3-к квартира,96.6,11200000,Площадь Восстания ,"Россия, Санкт-Петербург, Миргородская улица, 3Щ",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_96.6_m_410_et._930233011
751,1-к квартира,40.0,5900000,Фрунзенская ,"Смоленская улица, 11к2",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_40_m_1015_et._963872478
770,4-к квартира,148.0,26000000,Фрунзенская ,"ул Киевская, 3",https://www.avito.ru/sankt-peterburg/kvartiry/4-k_kvartira_148_m_1919_et._1158606305
44,Студия,25.0,3215000,Политехническая ,"ул. Обручевых, д. 5, лит. А",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_25_m_820_et._1170761268
389,1-к квартира,49.9,2120000,Черная речка ,наб. Черной речки д.41в,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_49.9_m_712_et._970689433
725,2-к квартира,64.0,5350000,Ладожская ,"Бестужевская ул. , д. 54",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_64_m_1923_et._1017583048
224,3-к квартира,50.0,3800000,Фрунзенская ,"ул Заозерная, 6",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_50_m_16_et._1062420313
123,Студия,25.0,3297225,Новочеркасская ,Магнитогорская ул.,https://www.avito.ru/sankt-peterburg/kvartiry/studiya_25_m_1315_et._958095710
701,Студия,32.8,2650000,Ладожская ,Кольцевая 8,https://www.avito.ru/sankt-peterburg/kvartiry/studiya_32.8_m_918_et._1033135052
468,1-к квартира,37.0,3550000,Невский проспект ,"Ленинский просп., уч. 9",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_37_m_618_et._943231277
173,3-к квартира,125.0,25990000,Горьковская ,Посадская Б. ул. 12,https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_125_m_79_et._1029265017
579,Студия,27.0,2650000,Проспект Ветеранов ,"улица Коммунаров, 188к3",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_27_m_816_et._830997574
